DATE,TIME PERIOD, Average nominal yields for total government debt securities with floating rates (GFS.M.N.AT.W0.S13.S1.N.L.LE.F3B.T._Z.RT._T.F.V.A1._T), Average nominal yields for total government debt securities with floating rates (GFS.M.N.BE.W0.S13.S1.N.L.LE.F3B.T._Z.RT._T.F.V.A1._T), Average nominal yields for total government debt securities with floating rates (GFS.M.N.BG.W0.S13.S1.N.L.LE.F3B.T._Z.RT._T.F.V.A1._T), Average nominal yields for total government debt securities with floating rates (GFS.M.N.CY.W0.S13.S1.N.L.LE.F3B.T._Z.RT._T.F.V.A1._T), Average nominal yields for total government debt securities with floating rates (GFS.M.N.CZ.W0.S13.S1.N.L.LE.F3B.T._Z.RT._T.F.V.A1._T), Average nominal yields for total government debt securities with floating rates (GFS.M.N.DE.W0.S13.S1.N.L.LE.F3B.T._Z.RT._T.F.V.A1._T), Average nominal yields for total government debt securities with floating rates (GFS.M.N.DK.W0.S13.S1.N.L.LE.F3B.T._Z.RT._T.F.V.A1._T), Average nominal yields for total government debt securities with floating rates (GFS.M.N.EE.W0.S13.S1.N.L.LE.F3B.T._Z.RT._T.F.V.A1._T), Average nominal yields for total government debt securities with floating rates (GFS.M.N.ES.W0.S13.S1.N.L.LE.F3B.T._Z.RT._T.F.V.A1._T), Average nominal yields for total government debt securities with floating rates (GFS.M.N.FI.W0.S13.S1.N.L.LE.F3B.T._Z.RT._T.F.V.A1._T), Average nominal yields for total government debt securities with floating rates (GFS.M.N.FR.W0.S13.S1.N.L.LE.F3B.T._Z.RT._T.F.V.A1._T), Average nominal yields for total government debt securities with floating rates (GFS.M.N.GR.W0.S13.S1.N.L.LE.F3B.T._Z.RT._T.F.V.A1._T), Average nominal yields for total government debt securities with floating rates (GFS.M.N.HR.W0.S13.S1.N.L.LE.F3B.T._Z.RT._T.F.V.A1._T), Average nominal yields for total government debt securities with floating rates (GFS.M.N.HU.W0.S13.S1.N.L.LE.F3B.T._Z.RT._T.F.V.A1._T), Average nominal yields for total government debt securities with floating rates (GFS.M.N.I8.W0.S13.S1.N.L.LE.F3B.T._Z.RT._T.F.V.A1._T), Average nominal yields for total government debt securities with floating rates (GFS.M.N.I9.W0.S13.S1.N.L.LE.F3B.T._Z.RT._T.F.V.A1._T), Average nominal yields for total government debt securities (GFS.M.N.I9.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T), Average nominal yields for total government debt securities with floating rates (GFS.M.N.IE.W0.S13.S1.N.L.LE.F3B.T._Z.RT._T.F.V.A1._T), Average nominal yields for total government debt securities with floating rates (GFS.M.N.IT.W0.S13.S1.N.L.LE.F3B.T._Z.RT._T.F.V.A1._T), Average nominal yields for total government debt securities with floating rates (GFS.M.N.LT.W0.S13.S1.N.L.LE.F3B.T._Z.RT._T.F.V.A1._T), Average nominal yields for total government debt securities with floating rates (GFS.M.N.LU.W0.S13.S1.N.L.LE.F3B.T._Z.RT._T.F.V.A1._T), Average nominal yields for total government debt securities with floating rates (GFS.M.N.LV.W0.S13.S1.N.L.LE.F3B.T._Z.RT._T.F.V.A1._T), Average nominal yields for total government debt securities with floating rates (GFS.M.N.MT.W0.S13.S1.N.L.LE.F3B.T._Z.RT._T.F.V.A1._T), Average nominal yields for total government debt securities with floating rates (GFS.M.N.NL.W0.S13.S1.N.L.LE.F3B.T._Z.RT._T.F.V.A1._T), Average nominal yields for total government debt securities with floating rates (GFS.M.N.PL.W0.S13.S1.N.L.LE.F3B.T._Z.RT._T.F.V.A1._T), Average nominal yields for total government debt securities with floating rates (GFS.M.N.PT.W0.S13.S1.N.L.LE.F3B.T._Z.RT._T.F.V.A1._T), Average nominal yields for total government debt securities with floating rates (GFS.M.N.RO.W0.S13.S1.N.L.LE.F3B.T._Z.RT._T.F.V.A1._T), Average nominal yields for total government debt securities with floating rates (GFS.M.N.SE.W0.S13.S1.N.L.LE.F3B.T._Z.RT._T.F.V.A1._T), Average nominal yields for total government debt securities with floating rates (GFS.M.N.SI.W0.S13.S1.N.L.LE.F3B.T._Z.RT._T.F.V.A1._T), Average nominal yields for total government debt securities with floating rates (GFS.M.N.SK.W0.S13.S1.N.L.LE.F3B.T._Z.RT._T.F.V.A1._T)
2007-12-31,2007Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-31,2008Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-02-29,2008Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-03-31,2008Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04-30,2008Apr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-05-31,2008May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-06-30,2008Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-07-31,2008Jul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-08-31,2008Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-09-30,2008Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-10-31,2008Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-11-30,2008Nov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-31,2008Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-31,2009Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-02-28,2009Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-03-31,2009Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-04-30,2009Apr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-05-31,2009May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,2009Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-07-31,2009Jul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-08-31,2009Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-09-30,2009Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10-31,2009Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-11-30,2009Nov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,2009Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-31,2010Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02-28,2010Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-31,2010Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-30,2010Apr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-05-31,2010May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,2010Jun,3.739,2.92,,,,3.363,,,2.271,,2.516,2.361,,4.545,1.884,2.647,4.9,,2.785,,,,,,2.966,,,,,
2010-07-31,2010Jul,3.983,2.92,,,,2.891,,,2.384,,2.717,2.247,,2.233,1.862,2.71,4.892,,2.783,,,,,,2.966,,,,,
2010-08-31,2010Aug,3.917,2.92,,,,2.918,,,2.384,,2.717,2.362,,2.151,1.814,2.732,4.884,,2.813,,,,,,2.966,,,,,
2010-09-30,2010Sep,3.964,2.92,,,,2.891,,,2.408,,2.657,2.361,,2.058,1.852,2.704,4.875,,2.802,,,,,,2.966,,,,,
2010-10-31,2010Oct,3.998,2.92,,,,2.845,,,2.519,,2.629,2.461,,2.051,1.833,2.707,4.863,,2.807,,,,,,2.966,,,,,
2010-11-30,2010Nov,4.33,2.92,,,,2.846,,,2.519,,2.599,2.486,,1.969,1.832,2.707,4.853,,2.815,,,,,,2.966,,,,,
2010-12-31,2010Dec,4.323,2.785,,,,2.904,,,2.75,,2.61,2.487,,1.944,1.838,2.721,4.856,,2.834,,,,,,2.966,,,,,
2011-01-31,2011Jan,4.332,2.785,,,,3.021,,,2.763,,2.613,2.487,,1.557,1.818,2.714,4.839,,2.804,,,,,,2.966,,,,,
2011-02-28,2011Feb,4.171,2.785,,,,3.025,,,2.763,,2.451,2.489,,2.195,1.784,2.654,4.827,,2.83,,,,,,2.966,,,,,
2011-03-31,2011Mar,4.155,2.354,,,,3.108,,,2.807,,2.419,2.487,,2.86,1.884,2.638,4.821,,2.827,,,,,,2.966,,,,,
