DATE,TIME PERIOD, Average nominal yields for total government debt securities with floating rates (GFS.M.N.BE.W0.S13.S1.N.L.LE.F3B.T._Z.RT._T.F.V.A1._T)
2007-12-31,2007Dec,
2008-01-31,2008Jan,
2008-02-29,2008Feb,
2008-03-31,2008Mar,
2008-04-30,2008Apr,
2008-05-31,2008May,
2008-06-30,2008Jun,
2008-07-31,2008Jul,
2008-08-31,2008Aug,
2008-09-30,2008Sep,
2008-10-31,2008Oct,
2008-11-30,2008Nov,
2008-12-31,2008Dec,
2009-01-31,2009Jan,
2009-02-28,2009Feb,
2009-03-31,2009Mar,
2009-04-30,2009Apr,
2009-05-31,2009May,
2009-06-30,2009Jun,
2009-07-31,2009Jul,
2009-08-31,2009Aug,
2009-09-30,2009Sep,
2009-10-31,2009Oct,
2009-11-30,2009Nov,
2009-12-31,2009Dec,
2010-01-31,2010Jan,
2010-02-28,2010Feb,
2010-03-31,2010Mar,
2010-04-30,2010Apr,
2010-05-31,2010May,
2010-06-30,2010Jun,2.92
2010-07-31,2010Jul,2.92
2010-08-31,2010Aug,2.92
2010-09-30,2010Sep,2.92
2010-10-31,2010Oct,2.92
2010-11-30,2010Nov,2.92
2010-12-31,2010Dec,2.785
2011-01-31,2011Jan,2.785
2011-02-28,2011Feb,2.785
2011-03-31,2011Mar,2.354
2011-04-30,2011Apr,2.359
2011-05-31,2011May,2.359
2011-06-30,2011Jun,2.408
2011-07-31,2011Jul,2.408
2011-08-31,2011Aug,2.408
2011-09-30,2011Sep,2.541
2011-10-31,2011Oct,2.541
2011-11-30,2011Nov,2.541
2011-12-31,2011Dec,2.537
2012-01-31,2012Jan,2.333
2012-02-29,2012Feb,2.333
2012-03-31,2012Mar,2.052
2012-04-30,2012Apr,2.033
2012-05-31,2012May,2.033
2012-06-30,2012Jun,2.157
2012-07-31,2012Jul,2.139
2012-08-31,2012Aug,2.028
2012-09-30,2012Sep,1.873
2012-10-31,2012Oct,1.873
2012-11-30,2012Nov,1.873
2012-12-31,2012Dec,1.944
2013-01-31,2013Jan,1.765
2013-02-28,2013Feb,1.726
2013-03-31,2013Mar,1.651
2013-04-30,2013Apr,1.651
2013-05-31,2013May,1.644
2013-06-30,2013Jun,1.727
2013-07-31,2013Jul,1.727
2013-08-31,2013Aug,1.701
2013-09-30,2013Sep,1.837
2013-10-31,2013Oct,1.837
2013-11-30,2013Nov,1.847
2013-12-31,2013Dec,1.848
2014-01-31,2014Jan,1.724
2014-02-28,2014Feb,1.725
2014-03-31,2014Mar,1.726
2014-04-30,2014Apr,1.616
2014-05-31,2014May,1.613
2014-06-30,2014Jun,1.597
2014-07-31,2014Jul,1.597
2014-08-31,2014Aug,1.591
2014-09-30,2014Sep,1.562
2014-10-31,2014Oct,1.557
2014-11-30,2014Nov,1.493
2014-12-31,2014Dec,1.477
2015-01-31,2015Jan,1.476
2015-02-28,2015Feb,1.471
2015-03-31,2015Mar,1.463
2015-04-30,2015Apr,1.462
2015-05-31,2015May,1.461
2015-06-30,2015Jun,1.288
2015-07-31,2015Jul,1.288
2015-08-31,2015Aug,1.287
2015-09-30,2015Sep,1.274
2015-10-31,2015Oct,1.271
2015-11-30,2015Nov,1.27
2015-12-31,2015Dec,1.256
2016-01-31,2016Jan,1.233
2016-02-29,2016Feb,1.229
2016-03-31,2016Mar,1.218
2016-04-30,2016Apr,1.168
2016-05-31,2016May,1.155
2016-06-30,2016Jun,1.1
2016-07-31,2016Jul,1.099
2016-08-31,2016Aug,1.098
2016-09-30,2016Sep,1.115
2016-10-31,2016Oct,1.156
2016-11-30,2016Nov,1.155
2016-12-31,2016Dec,1.152
2017-01-31,2017Jan,1.154
2017-02-28,2017Feb,1.154
2017-03-31,2017Mar,1.15
2017-04-30,2017Apr,1.154
2017-05-31,2017May,1.154
2017-06-30,2017Jun,1.092
2017-07-31,2017Jul,1.06
2017-08-31,2017Aug,1.06
2017-09-30,2017Sep,1.075
2017-10-31,2017Oct,1.068
2017-11-30,2017Nov,1.068
2017-12-31,2017Dec,1.058
2018-01-31,2018Jan,1.04
2018-02-28,2018Feb,1.025
2018-03-31,2018Mar,0.919
2018-04-30,2018Apr,0.919
2018-05-31,2018May,0.923
2018-06-30,2018Jun,1.043
2018-07-31,2018Jul,1.043
2018-08-31,2018Aug,1.044
2018-09-30,2018Sep,1.032
2018-10-31,2018Oct,1.021
2018-11-30,2018Nov,0.972
2018-12-31,2018Dec,0.969
2019-01-31,2019Jan,0.947
2019-02-28,2019Feb,0.922
2019-03-31,2019Mar,0.92
2019-04-30,2019Apr,0.92
2019-05-31,2019May,0.91
2019-06-30,2019Jun,0.906
2019-07-31,2019Jul,0.906
2019-08-31,2019Aug,1.003
2019-09-30,2019Sep,0.976
2019-10-31,2019Oct,0.754
2019-11-30,2019Nov,0.754
2019-12-31,2019Dec,0.754
2020-01-31,2020Jan,0.797
2020-02-29,2020Feb,0.803
2020-03-31,2020Mar,0.801
2020-04-30,2020Apr,0.796
2020-05-31,2020May,0.796
2020-06-30,2020Jun,0.746
2020-07-31,2020Jul,0.746
2020-08-31,2020Aug,0.746
2020-09-30,2020Sep,0.752
2020-10-31,2020Oct,0.729
2020-11-30,2020Nov,0.729
2020-12-31,2020Dec,0.72
2021-01-31,2021Jan,0.711
2021-02-28,2021Feb,0.703
2021-03-31,2021Mar,0.716
2021-04-30,2021Apr,0.759
2021-05-31,2021May,0.74
2021-06-30,2021Jun,0.689
2021-07-31,2021Jul,0.685
2021-08-31,2021Aug,0.685
2021-09-30,2021Sep,0.71
2021-10-31,2021Oct,0.709
2021-11-30,2021Nov,0.709
2021-12-31,2021Dec,0.708
2022-01-31,2022Jan,0.704
2022-02-28,2022Feb,0.704
2022-03-31,2022Mar,0.681
2022-04-30,2022Apr,0.681
2022-05-31,2022May,0.68
2022-06-30,2022Jun,0.724
2022-07-31,2022Jul,0.745
2022-08-31,2022Aug,0.745
2022-09-30,2022Sep,0.697
2022-10-31,2022Oct,0.683
2022-11-30,2022Nov,0.67
2022-12-31,2022Dec,0.561
2023-01-31,2023Jan,0.589
2023-02-28,2023Feb,0.589
2023-03-31,2023Mar,0.618
2023-04-30,2023Apr,0.767
2023-05-31,2023May,0.782
2023-06-30,2023Jun,0.909
2023-07-31,2023Jul,0.909
2023-08-31,2023Aug,0.909
2023-09-30,2023Sep,1.068
2023-10-31,2023Oct,0.789
2023-11-30,2023Nov,0.789
2023-12-31,2023Dec,0.792
