DATE,TIME PERIOD, Government debt (consolidated) (as % of GDP) (GFS.A.N.AT.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T), Government debt (consolidated) (as % of GDP) (GFS.A.N.B6.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T), Government debt (consolidated) (as % of GDP) (GFS.A.N.BE.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T), Government debt (consolidated) (as % of GDP) (GFS.A.N.BG.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T), Government debt (consolidated) (as % of GDP) (GFS.A.N.CY.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T), Government debt (consolidated) (as % of GDP) (GFS.A.N.CZ.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T), Government debt (consolidated) (as % of GDP) (GFS.A.N.DE.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T), Government debt (consolidated) (as % of GDP) (GFS.A.N.DK.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T), Government debt (consolidated) (as % of GDP) (GFS.A.N.EE.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T), Government debt (consolidated) (as % of GDP) (GFS.A.N.ES.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T), Government debt (consolidated) (as % of GDP) (GFS.A.N.FI.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T), Government debt (consolidated) (as % of GDP) (GFS.A.N.FR.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T),Government debt (consolidated) (as % of GDP) (GFS.A.N.GB.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T), Government debt (consolidated) (as % of GDP) (GFS.A.N.GR.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T), Government debt (consolidated) (as % of GDP) (GFS.A.N.HR.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T), Government debt (consolidated) (as % of GDP) (GFS.A.N.HU.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T), Government debt (consolidated) (as % of GDP) (GFS.A.N.I8.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T), Government debt (consolidated) (as % of GDP) (GFS.A.N.I9.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T), Government debt (consolidated) (as % of GDP) (GFS.A.N.IE.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T), Government debt (consolidated) (as % of GDP) (GFS.A.N.IT.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T),Government debt (consolidated) (as % of GDP) (GFS.A.N.JP.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T), Government debt (consolidated) (as % of GDP) (GFS.A.N.LT.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T), Government debt (consolidated) (as % of GDP) (GFS.A.N.LU.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T), Government debt (consolidated) (as % of GDP) (GFS.A.N.LV.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T), Government debt (consolidated) (as % of GDP) (GFS.A.N.MT.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T), Government debt (consolidated) (as % of GDP) (GFS.A.N.NL.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T), Government debt (consolidated) (as % of GDP) (GFS.A.N.PL.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T), Government debt (consolidated) (as % of GDP) (GFS.A.N.PT.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T), Government debt (consolidated) (as % of GDP) (GFS.A.N.RO.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T), Government debt (consolidated) (as % of GDP) (GFS.A.N.SE.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T), Government debt (consolidated) (as % of GDP) (GFS.A.N.SI.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T), Government debt (consolidated) (as % of GDP) (GFS.A.N.SK.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T),Government debt (consolidated) (as % of GDP) (GFS.A.N.US.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T)
1960-12-31,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.918
1961-12-31,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.346
1962-12-31,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.443
1963-12-31,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.972
1964-12-31,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.051
1965-12-31,1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.124
1966-12-31,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.311
1967-12-31,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.435
1968-12-31,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.928
1969-12-31,1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.788
1970-12-31,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.971
1971-12-31,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.457
1972-12-31,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.984
1973-12-31,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.399
1974-12-31,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.166
1975-12-31,1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.814
1976-12-31,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.919
1977-12-31,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.682
1978-12-31,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.472
1979-12-31,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.121
1980-12-31,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.591
1981-12-31,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.902
1982-12-31,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.08
1983-12-31,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.77
1984-12-31,1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.46
1985-12-31,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.306
1986-12-31,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.923
1987-12-31,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.074
1988-12-31,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.224
1989-12-31,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.967
1990-12-31,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.503
1991-12-31,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.459
1992-12-31,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.549
1993-12-31,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.866
1994-12-31,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.997
1995-12-31,1995,68.32,70.635,131.286,76.841,49.043,13.572,54.902,71.393,7.95,61.542,55.152,56.105,44.472,98.99,23.291,84.143,71.702,71.715,79.468,119.362,76.182,11.532,10.191,13.884,34.152,73.15,47.519,62.215,6.609,68.7,18.237,21.591,64.067
1996-12-31,1996,68.26,72.03,129.005,244.502,50.29,11.577,57.794,68.261,7.484,65.408,55.306,59.997,44.099,101.335,25.34,71.435,73.827,73.834,71.605,119.109,84.023,13.912,9.971,13.244,38.509,71.397,42.339,63.312,10.621,69.056,21.561,30.636,63.203
1997-12-31,1997,63.493,71.19,124.271,96.673,54.124,12.194,58.867,64.278,6.875,64.249,52.216,61.424,47.911,99.452,24.659,62.329,73.163,73.148,62.829,116.782,96.889,15.373,9.47,10.643,46.391,65.816,42.232,58.715,15.059,66.638,22.057,32.99,60.959
1998-12-31,1998,63.859,69.736,119.186,66.682,55.669,13.956,59.535,60.279,5.927,62.306,46.828,61.347,45.214,97.425,22.613,60.518,72.099,71.975,51.414,114.127,107.871,16.543,9.078,9.023,50.743,62.777,38.368,55.616,16.8,65.828,22.727,33.918,57.866
1999-12-31,1999,66.69,69.313,115.362,75.824,55.784,15.184,60.387,56.764,6.438,60.804,44.054,60.496,40.524,98.906,28.846,60.403,71.478,71.403,46.57,113.289,116.319,22.697,8.074,12.068,61.654,58.706,38.907,55.406,21.722,60.506,23.707,47.052,54.45
2000-12-31,2000,66.125,66.401,109.589,70.717,55.736,16.989,59.34,52.354,5.114,57.815,45.121,58.882,38.019,104.935,35.444,55.705,69.168,69.071,36.402,109.026,123.451,23.519,7.496,12.073,60.655,52.185,36.383,54.193,22.487,50.348,25.916,50.453,48.595
2001-12-31,2001,66.729,65.571,108.217,64.505,57.322,22.706,58.193,48.508,4.772,54.049,43.438,58.344,35.461,107.081,36.595,52.253,68.143,68.033,33.557,108.886,133.421,22.924,7.626,13.82,64.888,49.531,37.257,57.38,25.869,51.897,26.064,51.115,48.418
